op;Thing;Longitude;Latitude;Result
mcpm10;2;137;181;1.788888888888889
mcpm10;2;137;182;2.1666666666666665
mcpm10;2;153;120;4.557596388888892
mcpm10;3;111;183;10.6
mcpm10;3;140;120;13.1
mcpm10;3;141;142;12.845454545454546
mcpm2p5;2;137;181;1.3666666666666667
mcpm2p5;2;137;182;1.9333333333333331
mcpm2p5;2;153;120;3.063556111111114
mcpm2p5;3;111;183;9.872727272727271
mcpm2p5;3;140;120;12.0
mcpm2p5;3;141;142;11.418181818181818
ta;2;24;51;10.97
ta;2;129;99;9.335
ta;2;137;181;12.5
ta;2;137;182;12.433333333333332
ta;2;137;185;8.938333333333333
ta;2;139;74;9.364166666666668
ta;2;152;121;8.850833333333334
ta;2;153;120;15.552083333333334
ta;3;111;183;9.909090909090908
ta;3;140;120;9.0
ta;3;141;142;9.2
hur;2;129;99;99.99
hur;2;137;181;48.82222222222222
hur;2;137;182;48.63333333333333
hur;2;137;185;89.93375
hur;2;139;74;96.22583333333334
hur;2;152;121;99.99
hur;2;153;120;53.990416666666675
hur;3;111;183;93.01818181818182
hur;3;140;120;95.5
hur;3;141;142;95.44545454545457
plev;2;129;99;1005.3433333333332
plev;2;137;185;975.2429166666667
plev;2;139;74;1004.2441666666668
plev;2;152;121;1007.6733333333332
plev;2;153;120;949.615
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;-1.339404941376377
wsx;2;129;99;0.5555619098193766
wsx;2;137;185;-1.2363467267125403
wsx;2;153;120;1.3378199493403993
wsy;2;24;51;2.876976406237068
wsy;2;129;99;0.2266075116977521
wsy;2;137;185;-0.5202580770878575
wsy;2;153;120;0.8812728199297039
globalrad;2;129;99;0.0
globalrad;2;137;185;1.62125
globalrad;2;139;74;0.0
s_label_0;3;148;209;7.0
s_label_1;3;118;69;11.0
s_label_2;3;133;86;16.0
s_label_3;3;131;102;12.0
