op;Thing;Longitude;Latitude;Result
mcpm10;1;108;107;3.056194690265487
mcpm10;1;109;84;17.95344827586207
mcpm10;1;112;125;2.541304347826087
mcpm10;1;115;84;2.1005172413793103
mcpm10;1;126;86;5.160086206896552
mcpm10;1;131;102;25.219275362318843
mcpm10;1;136;120;17.300254237288136
mcpm10;1;138;182;4.298404558404559
mcpm10;1;146;103;4.485258620689655
mcpm10;1;155;114;10.314836956521738
mcpm10;1;217;150;1.4366379310344828
mcpm10;1;222;68;3.834655172413793
mcpm10;2;57;34;6.695833333333333
mcpm10;2;62;84;2.795166666666667
mcpm10;2;74;123;4.9075
mcpm10;2;94;191;6.79
mcpm10;2;95;191;10.106666666666667
mcpm10;2;116;122;4.8225
mcpm10;2;118;69;3.591666666666667
mcpm10;2;131;102;1.398
mcpm10;2;132;148;4.625
mcpm10;2;148;209;3.3125
mcpm10;2;206;140;4.464166666666666
mcpm10;2;225;143;9.370909090909093
mcpm10;2;225;150;10.63
mcpm2p5;1;108;107;1.4802654867256635
mcpm2p5;1;109;84;17.95344827586207
mcpm2p5;1;112;125;1.7899130434782609
mcpm2p5;1;115;84;1.391810344827586
mcpm2p5;1;126;86;3.828534482758621
mcpm2p5;1;131;102;25.219275362318843
mcpm2p5;1;136;120;17.300254237288136
mcpm2p5;1;138;182;2.2975128975128976
mcpm2p5;1;146;103;2.396034482758621
mcpm2p5;1;155;114;9.889402173913043
mcpm2p5;1;217;150;0.7187931034482758
mcpm2p5;1;222;68;2.521293103448276
mcpm2p5;2;57;34;4.49
mcpm2p5;2;62;84;2.1043333333333334
mcpm2p5;2;74;123;3.4175
mcpm2p5;2;94;191;5.804444444444444
mcpm2p5;2;95;191;8.966666666666667
mcpm2p5;2;116;122;3.6791666666666663
mcpm2p5;2;118;69;3.230833333333333
mcpm2p5;2;131;102;0.678
mcpm2p5;2;132;148;3.398333333333333
mcpm2p5;2;148;209;2.0883333333333334
mcpm2p5;2;206;140;2.5191666666666666
mcpm2p5;2;225;143;7.96
mcpm2p5;2;225;150;6.335
ta;1;75;125;18.40086206896552
ta;1;108;107;17.809734513274336
ta;1;109;84;17.95344827586207
ta;1;112;125;17.835652173913044
ta;1;115;84;18.507758620689657
ta;1;126;86;19.24051724137931
ta;1;131;102;25.219275362318843
ta;1;136;120;17.300254237288136
ta;1;138;182;16.263042273042274
ta;1;146;103;17.416379310344826
ta;1;155;114;17.27679347826087
ta;1;212;125;16.826724137931034
ta;1;217;150;22.41293103448276
ta;1;222;68;16.583620689655174
ta;2;24;51;18.4725
ta;2;57;34;17.974999999999998
ta;2;62;84;18.758333333333333
ta;2;74;123;18.291666666666668
ta;2;94;191;18.83333333333333
ta;2;95;191;18.7
ta;2;116;122;21.35
ta;2;118;69;17.525000000000002
ta;2;129;99;17.696666666666665
ta;2;131;102;20.56
ta;2;132;148;18.05
ta;2;137;185;15.04
ta;2;139;74;16.725833333333334
ta;2;148;209;18.325
ta;2;152;121;16.203333333333333
ta;2;206;140;16.825
ta;2;225;143;21.418181818181814
ta;2;225;150;19.35833333333333
hur;1;75;125;99.9
hur;1;108;107;99.9
hur;1;109;84;99.9
hur;1;112;125;99.9
hur;1;115;84;99.9
hur;1;126;86;90.1801724137931
hur;1;131;102;100.0
hur;1;136;120;91.91898305084746
hur;1;138;182;93.47536324786324
hur;1;146;103;99.9
hur;1;155;114;99.9
hur;1;212;125;99.9
hur;1;217;150;99.89396551724138
hur;1;222;68;99.9
hur;2;57;34;77.0
hur;2;62;84;35.93333333333333
hur;2;74;123;39.30833333333333
hur;2;94;191;39.266666666666666
hur;2;95;191;39.3
hur;2;116;122;33.766666666666666
hur;2;118;69;40.375
hur;2;129;99;82.8125
hur;2;131;102;38.04
hur;2;132;148;41.95
hur;2;137;185;89.18416666666667
hur;2;139;74;89.43583333333333
hur;2;148;209;40.49166666666667
hur;2;152;121;93.36666666666667
hur;2;206;140;47.49166666666667
hur;2;225;143;40.47272727272727
hur;2;225;150;41.61666666666667
plev;2;129;99;1015.7933333333334
plev;2;137;185;957.0008333333334
plev;2;139;74;1015.4366666666666
plev;2;152;121;1012.5875
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;1.9531083174363444
wsx;2;129;99;2.750016846424993
wsy;2;24;51;-4.000510136622654
wsy;2;129;99;-3.6781919407679866
globalrad;2;129;99;0.0
globalrad;2;137;185;0.0
globalrad;2;139;74;0.0
s_label_0;3;148;209;5.0
s_label_1;3;118;69;7.0
s_label_2;3;133;86;9.0
s_label_3;3;131;102;14.0
