op;Thing;Longitude;Latitude;Result
mcpm10;1;26;149;11.827272727272728
mcpm10;1;75;125;12.780777777777775
mcpm10;1;108;107;12.614597701149426
mcpm10;1;109;84;14.027906976744188
mcpm10;1;112;125;15.852777777777778
mcpm10;1;114;117;16.827222222222222
mcpm10;1;115;84;8.833888888888888
mcpm10;1;138;182;16.4207777521818
mcpm10;1;139;97;7.751176470588236
mcpm10;1;141;95;12.936818181818182
mcpm10;1;146;103;15.45314606741573
mcpm10;1;155;114;14.555494505494504
mcpm10;1;212;125;23.37909090909091
mcpm10;1;217;150;7.657303370786517
mcpm10;1;222;68;15.592777777777776
mcpm10;2;57;34;14.31
mcpm10;2;73;43;17.56
mcpm10;2;94;191;9.343333333333334
mcpm10;2;117;69;7.18
mcpm10;2;117;122;10.769166666666663
mcpm10;2;118;69;8.370000000000001
mcpm10;2;118;113;9.198
mcpm10;2;119;113;10.075
mcpm10;2;131;102;13.97
mcpm10;2;132;148;17.11
mcpm10;2;136;96;12.64
mcpm10;2;138;181;12.78
mcpm10;2;139;75;11.863333333333337
mcpm10;2;139;97;10.93
mcpm10;2;145;124;0.1642857142857142
mcpm10;2;148;209;9.03
mcpm10;2;153;119;15.31
mcpm10;2;153;120;10.305
mcpm10;2;168;75;19.1
mcpm10;2;179;55;15.74
mcpm10;2;206;140;10.7155
mcpm10;2;225;143;15.410000000000002
mcpm10;2;225;150;10.454
mcpm10;2;225;151;8.605
mcpm2p5;1;26;149;11.827272727272728
mcpm2p5;1;75;125;10.441777777777778
mcpm2p5;1;108;107;8.806781609195403
mcpm2p5;1;109;84;14.027906976744188
mcpm2p5;1;112;125;13.975888888888887
mcpm2p5;1;114;117;13.829444444444444
mcpm2p5;1;115;84;7.378555555555556
mcpm2p5;1;138;182;14.504126208793414
mcpm2p5;1;139;97;6.134235294117647
mcpm2p5;1;141;95;11.09965909090909
mcpm2p5;1;146;103;10.366966292134832
mcpm2p5;1;155;114;14.555494505494504
mcpm2p5;1;212;125;17.24568181818182
mcpm2p5;1;217;150;6.13876404494382
mcpm2p5;1;222;68;12.780222222222225
mcpm2p5;2;57;34;12.83
mcpm2p5;2;73;43;14.0
mcpm2p5;2;94;191;7.918333333333334
mcpm2p5;2;117;69;6.52
mcpm2p5;2;117;122;9.494166666666668
mcpm2p5;2;118;69;7.382
mcpm2p5;2;118;113;8.419
mcpm2p5;2;119;113;9.425
mcpm2p5;2;131;102;12.37
mcpm2p5;2;132;148;15.04
mcpm2p5;2;136;96;11.83
mcpm2p5;2;138;181;11.43142857142857
mcpm2p5;2;139;75;10.816666666666668
mcpm2p5;2;139;97;10.08
mcpm2p5;2;145;124;0.1642857142857142
mcpm2p5;2;148;209;7.9
mcpm2p5;2;153;119;13.74
mcpm2p5;2;153;120;8.946590909090908
mcpm2p5;2;168;75;18.02
mcpm2p5;2;179;55;14.21
mcpm2p5;2;206;140;9.328
mcpm2p5;2;225;143;14.463333333333331
mcpm2p5;2;225;150;9.526
mcpm2p5;2;225;151;7.86
ta;1;26;149;11.827272727272728
ta;1;75;125;14.363333333333332
ta;1;108;107;14.929885057471266
ta;1;109;84;14.027906976744188
ta;1;112;125;14.076666666666668
ta;1;114;117;15.875
ta;1;115;84;15.976666666666668
ta;1;138;182;12.504500220746372
ta;1;139;97;17.334117647058825
ta;1;141;95;14.865909090909092
ta;1;146;103;14.708988764044944
ta;1;155;114;14.555494505494504
ta;1;212;125;13.705681818181818
ta;1;217;150;18.90449438202247
ta;1;222;68;12.622222222222222
ta;2;24;51;13.494166666666668
ta;2;57;34;13.9
ta;2;73;43;15.9
ta;2;94;191;14.016666666666666
ta;2;117;69;14.2
ta;2;117;122;16.691666666666666
ta;2;118;69;14.8
ta;2;118;113;13.57
ta;2;119;113;13.6
ta;2;129;99;13.511666666666663
ta;2;131;102;15.6
ta;2;132;148;15.1
ta;2;136;96;14.8
ta;2;137;185;12.435833333333331
ta;2;138;181;15.314285714285717
ta;2;139;74;13.67
ta;2;139;75;15.45
ta;2;139;97;18.6
ta;2;145;124;15.814285714285717
ta;2;148;209;13.9
ta;2;152;121;13.0075
ta;2;153;119;15.6
ta;2;153;120;14.563636363636363
ta;2;168;75;15.6
ta;2;179;55;15.3
ta;2;206;140;12.855
ta;2;225;143;17.716666666666665
ta;2;225;150;15.63
ta;2;225;151;15.65
hur;1;26;149;99.9
hur;1;75;125;99.9
hur;1;108;107;99.9
hur;1;109;84;99.9
hur;1;112;125;99.9
hur;1;114;117;98.3212962962963
hur;1;115;84;99.9
hur;1;138;182;100.0
hur;1;139;97;99.9
hur;1;141;95;99.9
hur;1;146;103;99.9
hur;1;155;114;99.9
hur;1;212;125;99.9
hur;1;217;150;93.77640449438202
hur;1;222;68;99.9
hur;2;57;34;44.7
hur;2;73;43;44.4
hur;2;94;191;46.18333333333334
hur;2;117;69;45.9
hur;2;117;122;41.63333333333333
hur;2;118;69;45.8
hur;2;118;113;45.63
hur;2;119;113;46.1
hur;2;129;99;99.99
hur;2;131;102;46.2
hur;2;132;148;45.8
hur;2;136;96;46.7
