op;Thing;Longitude;Latitude;Result
mcpm10;2;132;183;64.0
mcpm10;2;134;183;59.4
mcpm10;2;136;181;63.25
mcpm10;2;138;180;62.4
mcpm10;2;140;179;53.1
mcpm10;2;140;180;61.6
mcpm10;2;153;120;21.84183333333333
mcpm10;3;140;120;14.6
mcpm10;3;141;142;15.754545454545456
mcpm2p5;2;132;183;37.9
mcpm2p5;2;134;183;34.5
mcpm2p5;2;136;181;37.75
mcpm2p5;2;138;180;37.6
mcpm2p5;2;140;179;30.9
mcpm2p5;2;140;180;36.7
mcpm2p5;2;153;120;23.492295333333356
mcpm2p5;3;140;120;9.8
mcpm2p5;3;141;142;9.71818181818182
ta;2;24;51;26.421666666666667
ta;2;129;99;25.90416666666667
ta;2;132;183;33.4
ta;2;134;183;36.5
ta;2;136;181;33.55
ta;2;137;185;25.227083333333333
ta;2;138;180;33.0
ta;2;139;74;25.89333333333333
ta;2;140;179;33.4
ta;2;140;180;31.9
ta;2;152;121;25.471666666666668
ta;2;153;120;28.78533333333334
ta;3;140;120;25.6
ta;3;141;142;26.036363636363635
hur;2;129;99;54.525
hur;2;132;183;22.4
hur;2;134;183;20.8
hur;2;136;181;22.7
hur;2;137;185;56.055416666666666
hur;2;138;180;23.3
hur;2;139;74;57.31166666666667
hur;2;140;179;21.9
hur;2;140;180;23.8
hur;2;152;121;55.5075
hur;2;153;120;35.39000000000001
hur;3;140;120;53.1
hur;3;141;142;51.40909090909091
plev;2;129;99;1018.47
plev;2;137;185;990.3091666666667
plev;2;139;74;1018.9166666666666
plev;2;152;121;1017.4258333333332
plev;2;153;120;964.456666666667
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;9.620326958092186
wsx;2;129;99;9.620676339214713
wsx;2;137;185;4.800568804221812
wsx;2;152;121;8.930404578294892
wsx;2;153;120;3.3062328215491266
wsy;2;24;51;4.4263550151682205
wsy;2;129;99;1.547165874236318
wsy;2;137;185;2.3880916255722746
wsy;2;152;121;-2.8416985083144635
wsy;2;153;120;1.0665366987175369
globalrad;2;129;99;29.757500000000004
globalrad;2;137;185;77.48916666666666
globalrad;2;139;74;76.61333333333333
s_label_0;3;148;209;12.0
s_label_1;3;118;69;13.0
s_label_2;3;133;86;18.0
s_label_3;3;131;102;23.0
