op;Thing;Longitude;Latitude;Result
mcpm10;1;26;149;7.257746478873239
mcpm10;1;75;125;10.025470085470086
mcpm10;1;108;107;6.100862068965518
mcpm10;1;109;84;8.061206896551724
mcpm10;1;112;125;8.764871794871794
mcpm10;1;115;84;6.388547008547009
mcpm10;1;131;102;9.85863247863248
mcpm10;1;138;182;10.716613300492611
mcpm10;1;139;97;6.383965517241379
mcpm10;1;141;95;6.561025641025641
mcpm10;1;146;103;8.360940170940172
mcpm10;1;155;114;6.046099591230026
mcpm10;1;212;125;7.554473684210526
mcpm10;1;217;150;5.0865811965811965
mcpm10;1;222;68;7.3365811965811965
mcpm10;2;57;34;15.92111111111111
mcpm10;2;57;35;14.313333333333333
mcpm10;2;62;84;8.016603773584906
mcpm10;2;63;83;7.048571428571429
mcpm10;2;72;43;19.72
mcpm10;2;73;43;19.028181818181817
mcpm10;2;74;123;9.2
mcpm10;2;94;191;7.622727272727272
mcpm10;2;95;191;8.47
mcpm10;2;116;31;9.586363636363636
mcpm10;2;116;122;9.665
mcpm10;2;117;69;8.6
mcpm10;2;118;69;8.449
mcpm10;2;118;113;10.485
mcpm10;2;119;112;12.01
mcpm10;2;119;113;9.42
mcpm10;2;131;102;9.184166666666668
mcpm10;2;131;148;10.595
mcpm10;2;132;148;9.586666666666666
mcpm10;2;132;149;7.46
mcpm10;2;137;181;9.798
mcpm10;2;138;181;8.985714285714286
mcpm10;2;139;75;11.851666666666668
mcpm10;2;139;97;6.837999999999999
mcpm10;2;139;98;8.83
mcpm10;2;148;209;7.595
mcpm10;2;151;13;5.27
mcpm10;2;152;13;6.317796610169491
mcpm10;2;153;120;14.065
mcpm10;2;179;55;13.431666666666668
mcpm10;2;199;1;11.835
mcpm10;2;199;2;13.25
mcpm10;2;200;1;10.703333333333331
mcpm10;2;200;2;9.32
mcpm10;2;206;139;9.63
mcpm10;2;206;140;9.628181818181815
mcpm10;2;224;143;18.785
mcpm10;2;225;143;17.415
mcpm2p5;1;26;149;7.257746478873239
mcpm2p5;1;75;125;2.265213675213675
mcpm2p5;1;108;107;1.320603448275862
mcpm2p5;1;109;84;8.061206896551724
mcpm2p5;1;112;125;2.480854700854701
mcpm2p5;1;115;84;1.8147863247863247
mcpm2p5;1;131;102;2.339316239316239
mcpm2p5;1;138;182;4.451046798029557
mcpm2p5;1;139;97;1.8021551724137927
mcpm2p5;1;141;95;1.5485470085470086
mcpm2p5;1;146;103;2.219059829059829
mcpm2p5;1;155;114;1.8166332218506132
mcpm2p5;1;212;125;1.650701754385965
mcpm2p5;1;217;150;1.1663247863247863
mcpm2p5;1;222;68;2.247606837606838
mcpm2p5;2;57;34;11.973333333333334
mcpm2p5;2;57;35;10.653333333333334
mcpm2p5;2;62;84;4.696981132075472
mcpm2p5;2;63;83;4.354285714285714
mcpm2p5;2;72;43;17.29
mcpm2p5;2;73;43;15.50090909090909
mcpm2p5;2;74;123;5.428333333333334
mcpm2p5;2;94;191;4.96
mcpm2p5;2;95;191;4.83
mcpm2p5;2;116;31;6.003636363636363
mcpm2p5;2;116;122;5.7525
mcpm2p5;2;117;69;5.605
mcpm2p5;2;118;69;5.652
mcpm2p5;2;118;113;7.7625
mcpm2p5;2;119;112;8.08
mcpm2p5;2;119;113;7.68
mcpm2p5;2;131;102;6.2250000000000005
mcpm2p5;2;131;148;6.55
mcpm2p5;2;132;148;6.279999999999999
mcpm2p5;2;132;149;5.81
mcpm2p5;2;137;181;6.336
mcpm2p5;2;138;181;5.998571428571429
mcpm2p5;2;139;75;8.113333333333333
mcpm2p5;2;139;97;4.532
mcpm2p5;2;139;98;5.86
mcpm2p5;2;148;209;4.550833333333333
mcpm2p5;2;151;13;3.99
mcpm2p5;2;152;13;3.884067796610169
mcpm2p5;2;153;120;8.658333333333333
mcpm2p5;2;179;55;9.675
mcpm2p5;2;199;1;7.413333333333334
mcpm2p5;2;199;2;8.18
mcpm2p5;2;200;1;7.526666666666666
mcpm2p5;2;200;2;7.03
mcpm2p5;2;206;139;6.42
mcpm2p5;2;206;140;6.3090909090909095
mcpm2p5;2;224;143;15.29
mcpm2p5;2;225;143;15.037
ta;1;26;149;7.257746478873239
ta;1;75;125;7.927350427350428
ta;1;108;107;8.998275862068965
ta;1;109;84;8.061206896551724
ta;1;112;125;7.8538461538461535
ta;1;115;84;9.233333333333333
ta;1;131;102;11.193846153846154
ta;1;138;182;6.417844827586207
ta;1;139;97;10.174137931034483
ta;1;141;95;8.533333333333333
ta;1;146;103;8.603418803418803
ta;1;155;114;8.554295800817542
ta;1;212;125;8.096491228070175
ta;1;217;150;12.173504273504273
ta;1;222;68;8.18974358974359
ta;2;24;51;4.92
ta;2;57;34;8.122222222222222
ta;2;57;35;8.1
ta;2;62;84;7.654716981132076
ta;2;63;83;7.6
ta;2;72;43;8.8
ta;2;73;43;8.527272727272727
ta;2;74;123;8.733333333333333
ta;2;94;191;8.299999999999999
ta;2;95;191;8.5
ta;2;116;31;8.618181818181817
ta;2;116;122;8.966666666666667
ta;2;117;69;6.949999999999999
ta;2;118;69;6.95
ta;2;118;113;6.3625
