op;Thing;Longitude;Latitude;Result
mcpm10;2;57;34;28.59166666666667
mcpm10;2;62;84;13.941
mcpm10;2;74;123;15.235833333333332
mcpm10;2;94;191;0.1166666666666666
mcpm10;2;95;191;0.1183333333333333
mcpm10;2;115;122;15.6925
mcpm10;2;116;31;23.679166666666664
mcpm10;2;116;122;14.33875
mcpm10;2;117;69;23.67
mcpm10;2;118;69;21.96
mcpm10;2;131;102;15.8875
mcpm10;2;131;148;21.67333333333333
mcpm10;2;132;148;21.252222222222223
mcpm10;2;137;181;18.814
mcpm10;2;138;181;17.895714285714284
mcpm10;2;152;13;12.846
mcpm10;2;199;1;24.0625
mcpm10;2;199;2;25.89
mcpm10;2;200;1;36.49
mcpm10;2;200;2;29.89
mcpm10;2;225;143;22.1
mcpm10;2;225;150;13.72
mcpm10;2;225;151;13.142
mcpm2p5;2;57;34;26.0025
mcpm2p5;2;62;84;12.042166666666668
mcpm2p5;2;74;123;12.968333333333334
mcpm2p5;2;94;191;0.1166666666666666
mcpm2p5;2;95;191;0.1183333333333333
mcpm2p5;2;115;122;12.49
mcpm2p5;2;116;31;18.354166666666668
mcpm2p5;2;116;122;11.91875
mcpm2p5;2;117;69;20.02
mcpm2p5;2;118;69;19.14818181818182
mcpm2p5;2;131;102;14.125
mcpm2p5;2;131;148;18.736666666666668
mcpm2p5;2;132;148;18.99888888888889
mcpm2p5;2;137;181;16.784
mcpm2p5;2;138;181;15.815714285714288
mcpm2p5;2;152;13;11.1175
mcpm2p5;2;199;1;18.355
mcpm2p5;2;199;2;20.74
mcpm2p5;2;200;1;19.715
mcpm2p5;2;200;2;20.07
mcpm2p5;2;225;143;20.508333333333333
mcpm2p5;2;225;150;11.81
mcpm2p5;2;225;151;11.654
ta;2;24;51;12.358333333333334
ta;2;57;34;17.591666666666665
ta;2;62;84;13.125
ta;2;74;123;15.991666666666667
ta;2;94;191;16.633333333333333
ta;2;95;191;16.3
ta;2;115;122;17.45
ta;2;116;31;20.266666666666666
ta;2;116;122;18.1875
ta;2;117;69;11.8
ta;2;118;69;13.28181818181818
ta;2;129;99;14.025833333333331
ta;2;131;102;14.058333333333332
ta;2;131;148;14.666666666666666
ta;2;132;148;14.61111111111111
ta;2;137;181;17.16
ta;2;137;185;13.763333333333334
ta;2;138;181;17.142857142857142
ta;2;139;74;16.159166666666668
ta;2;152;13;18.755
ta;2;152;121;15.545833333333334
ta;2;199;1;14.2
ta;2;199;2;15.4
ta;2;200;1;13.55
ta;2;200;2;14.2
ta;2;225;143;15.3
ta;2;225;150;21.25
ta;2;225;151;19.67
hur;2;57;34;44.43333333333334
hur;2;62;84;27.09
hur;2;74;123;23.0
hur;2;94;191;28.4
hur;2;95;191;28.0
hur;2;115;122;22.025
hur;2;116;31;16.7
hur;2;116;122;19.4
hur;2;117;69;30.9
hur;2;118;69;28.9
hur;2;129;99;53.89083333333334
hur;2;131;102;26.241666666666664
hur;2;131;148;22.666666666666668
hur;2;132;148;23.12222222222222
hur;2;137;181;22.82
hur;2;137;185;52.15833333333333
hur;2;138;181;22.02857142857143
hur;2;139;74;53.945
hur;2;152;13;17.061666666666667
hur;2;152;121;49.7275
hur;2;199;1;50.2
hur;2;199;2;46.0
hur;2;200;1;52.7
hur;2;200;2;50.4
hur;2;225;143;26.241666666666664
hur;2;225;150;17.55
hur;2;225;151;17.3
plev;2;129;99;1023.9
plev;2;137;185;963.3291666666668
plev;2;139;74;1022.2833333333332
plev;2;152;121;1023.6125
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;-8.867868206649016
wsx;2;129;99;-0.4945070220619667
wsx;2;137;185;-6.294689447508435
wsx;2;152;121;-0.8998741683790291
wsy;2;24;51;2.807271646661949
wsy;2;129;99;-3.4808492107854594
wsy;2;137;185;2.45439164883122
wsy;2;152;121;-0.4610898000676841
globalrad;2;129;99;496.9791666666667
globalrad;2;137;185;243.98833333333332
globalrad;2;139;74;417.51916666666665
s_label_0;3;148;209;10.0
s_label_1;3;118;69;16.0
s_label_2;3;133;86;25.0
s_label_3;3;131;102;17.0
