op;Thing;Longitude;Latitude;Result
mcpm10;1;108;107;38.30392857142857
mcpm10;1;115;84;35.27030303030303
mcpm10;1;126;86;53.90354838709678
mcpm10;1;131;102;71.98949999999999
mcpm10;1;146;103;43.2265
mcpm10;1;155;114;42.667857142857144
mcpm10;1;217;150;27.11958333333333
mcpm10;1;222;68;80.76111111111112
mcpm10;2;57;34;40.18333333333333
mcpm10;2;62;84;11.167241379310346
mcpm10;2;63;84;10.95
mcpm10;2;73;43;55.99
mcpm10;2;73;123;15.02
mcpm10;2;74;123;14.284444444444444
mcpm10;2;94;191;0.265
mcpm10;2;95;191;0.2675
mcpm10;2;115;122;16.72
mcpm10;2;116;31;24.2975
mcpm10;2;116;121;16.86
mcpm10;2;116;122;16.685
mcpm10;2;117;69;11.045
mcpm10;2;118;69;11.719
mcpm10;2;131;102;12.0875
mcpm10;2;137;181;22.174444444444443
mcpm10;2;138;181;21.21
mcpm10;2;139;75;32.70916666666667
mcpm10;2;148;209;12.0875
mcpm10;2;152;12;20.405
mcpm10;2;152;13;18.404310344827586
mcpm10;2;153;119;12.32
mcpm10;2;153;120;12.113636363636363
mcpm10;2;168;75;67.19
mcpm10;2;179;55;12.214999999999998
mcpm10;2;206;140;19.815
mcpm10;2;225;143;53.15583333333333
mcpm2p5;1;108;107;13.500714285714285
mcpm2p5;1;115;84;15.462424242424245
mcpm2p5;1;126;86;29.32870967741936
mcpm2p5;1;131;102;36.92775
mcpm2p5;1;146;103;18.126
mcpm2p5;1;155;114;26.740714285714287
mcpm2p5;1;217;150;11.215833333333334
mcpm2p5;1;222;68;32.30259259259259
mcpm2p5;2;57;34;39.9075
mcpm2p5;2;62;84;10.802586206896551
mcpm2p5;2;63;84;10.43
mcpm2p5;2;73;43;55.524166666666666
mcpm2p5;2;73;123;14.343333333333334
mcpm2p5;2;74;123;13.85
mcpm2p5;2;94;191;0.265
mcpm2p5;2;95;191;0.2675
mcpm2p5;2;115;122;16.33
mcpm2p5;2;116;31;23.6675
mcpm2p5;2;116;121;16.13
mcpm2p5;2;116;122;16.314
mcpm2p5;2;117;69;10.85
mcpm2p5;2;118;69;11.444
mcpm2p5;2;131;102;11.963333333333331
mcpm2p5;2;137;181;21.66555555555556
mcpm2p5;2;138;181;20.59
mcpm2p5;2;139;75;32.119166666666665
