op;Thing;Longitude;Latitude;Result
mcpm10;1;108;107;4.7946728971962616
mcpm10;1;112;125;5.471346153846154
mcpm10;1;120;66;5.015340909090909
mcpm10;1;129;104;4.008679245283019
mcpm10;1;137;75;3.758988764044944
mcpm10;1;137;91;3.812044817927171
mcpm10;1;138;182;5.609278726891355
mcpm10;1;141;87;3.71
mcpm10;1;142;194;3.5742857142857143
mcpm10;1;146;97;6.331428571428571
mcpm10;1;146;103;5.420857142857144
mcpm10;1;155;114;3.676053156748912
mcpm10;1;217;150;1.942264150943396
mcpm10;1;245;116;5.642330097087378
mcpm10;2;118;112;4.9825
mcpm10;2;118;113;5.4377272727272725
mcpm10;2;119;112;5.29
mcpm10;2;119;113;5.025
mcpm10;2;119;114;6.26
mcpm10;2;136;96;6.0325
mcpm10;2;136;182;0.5030349455558369
mcpm10;2;137;179;2.0
mcpm10;2;137;181;1.6666666666666667
mcpm10;2;137;182;1.8333333333333333
mcpm10;2;138;182;1.7
mcpm10;2;139;75;8.0075
mcpm10;2;148;209;0.7416666666666667
mcpm10;2;151;13;2.65
mcpm10;2;152;13;2.28
mcpm10;2;152;118;9.63
mcpm10;2;152;119;9.97
mcpm10;2;152;120;11.4
mcpm10;2;153;118;11.44
mcpm10;2;153;119;6.355
mcpm10;2;153;120;6.325571428571429
mcpm10;2;154;120;1.025
mcpm10;2;158;118;0.0
mcpm10;2;159;118;0.0
mcpm10;2;179;55;7.104166666666667
mcpm10;2;199;1;10.468
mcpm10;2;200;0;9.28
mcpm10;2;200;1;7.6
mcpm10;3;136;182;8.2
mcpm10;3;139;75;3.891666666666667
mcpm10;3;153;120;5.066666666666666
mcpm2p5;1;108;107;2.2998130841121496
mcpm2p5;1;112;125;3.3432692307692307
mcpm2p5;1;120;66;3.8150568181818185
mcpm2p5;1;129;104;2.0002830188679246
mcpm2p5;1;137;75;2.279608938547486
mcpm2p5;1;137;91;2.261064425770308
mcpm2p5;1;138;182;3.9889522293537096
mcpm2p5;1;141;87;2.2491346153846155
mcpm2p5;1;142;194;1.4455238095238094
mcpm2p5;1;146;97;3.1534285714285715
mcpm2p5;1;146;103;2.9186666666666663
mcpm2p5;1;155;114;2.157023766328012
mcpm2p5;1;217;150;1.0814150943396226
mcpm2p5;1;245;116;4.06631067961165
mcpm2p5;2;118;112;3.555
mcpm2p5;2;118;113;3.503181818181818
mcpm2p5;2;119;112;3.72
mcpm2p5;2;119;113;3.605
mcpm2p5;2;119;114;3.93
