op;Thing;Longitude;Latitude;Result
mcpm10;1;26;149;2.339130434782609
mcpm10;1;75;125;30.85122807017544
mcpm10;1;108;107;24.559115044247783
mcpm10;1;109;84;5.12280701754386
mcpm10;1;112;125;35.245752212389384
mcpm10;1;114;117;27.52
mcpm10;1;115;84;17.446814159292035
mcpm10;1;138;182;12.076420046622445
mcpm10;1;139;97;14.299298245614036
mcpm10;1;141;95;17.642212389380532
mcpm10;1;146;103;23.299821428571427
mcpm10;1;155;114;5.873968705547653
mcpm10;1;212;125;40.15858407079646
mcpm10;1;217;150;9.090350877192982
mcpm10;1;222;68;21.959646017699114
mcpm10;2;62;84;15.371016949152542
mcpm10;2;62;85;17.43
mcpm10;2;74;42;33.985
mcpm10;2;74;43;32.3775
mcpm10;2;74;123;13.135
mcpm10;2;75;42;41.115
mcpm10;2;94;191;18.587142857142855
mcpm10;2;95;191;15.826
mcpm10;2;116;31;17.258333333333333
mcpm10;2;116;122;18.74083333333333
mcpm10;2;117;69;16.76
mcpm10;2;118;69;15.684545454545455
mcpm10;2;118;113;15.222857142857142
mcpm10;2;119;113;15.3
mcpm10;2;131;102;16.68166666666667
mcpm10;2;132;148;21.980833333333333
mcpm10;2;136;96;17.979166666666668
mcpm10;2;137;181;4.766666666666667
mcpm10;2;139;97;13.813333333333333
mcpm10;2;144;124;19.895000000000003
mcpm10;2;144;125;19.656
mcpm10;2;145;124;22.145
mcpm10;2;145;125;18.26
mcpm10;2;148;209;13.854166666666666
mcpm10;2;152;13;15.472333333333331
mcpm10;2;154;120;17.236666666666668
mcpm10;2;168;75;30.0025
mcpm10;2;179;55;23.055833333333336
mcpm10;2;197;85;17.08
mcpm10;2;197;86;18.276666666666667
mcpm10;2;198;85;16.0
mcpm10;2;198;86;16.57
mcpm10;2;206;140;18.3575
mcpm10;2;206;141;18.0
mcpm10;2;207;140;16.906666666666666
mcpm10;2;225;143;26.98583333333333
mcpm10;2;225;150;15.49
mcpm10;2;225;151;14.10090909090909
mcpm10;3;153;119;24.05
mcpm2p5;1;26;149;2.339130434782609
mcpm2p5;1;75;125;20.126491228070176
mcpm2p5;1;108;107;15.09433628318584
mcpm2p5;1;109;84;5.12280701754386
mcpm2p5;1;112;125;27.65442477876106
mcpm2p5;1;114;117;13.38
mcpm2p5;1;115;84;12.100619469026547
mcpm2p5;1;138;182;7.578220558131397
mcpm2p5;1;139;97;10.18657894736842
mcpm2p5;1;141;95;12.158230088495577
mcpm2p5;1;146;103;13.710982142857144
mcpm2p5;1;155;114;5.873968705547653
mcpm2p5;1;212;125;23.99867256637168
mcpm2p5;1;217;150;6.106140350877193
mcpm2p5;1;222;68;16.12362831858407
mcpm2p5;2;62;84;14.592542372881356
mcpm2p5;2;62;85;15.88
mcpm2p5;2;74;42;30.755
mcpm2p5;2;74;43;30.185
mcpm2p5;2;74;123;11.053333333333333
mcpm2p5;2;75;42;38.06
mcpm2p5;2;94;191;16.147142857142857
mcpm2p5;2;95;191;14.15
mcpm2p5;2;116;31;14.283333333333331
mcpm2p5;2;116;122;16.479166666666668
mcpm2p5;2;117;69;14.19
mcpm2p5;2;118;69;13.88818181818182
mcpm2p5;2;118;113;13.831428571428573
mcpm2p5;2;119;113;13.685999999999998
mcpm2p5;2;131;102;14.643333333333333
mcpm2p5;2;132;148;19.5125
mcpm2p5;2;136;96;15.675
mcpm2p5;2;137;181;4.033333333333333
mcpm2p5;2;139;97;12.354166666666666
mcpm2p5;2;144;124;13.595
mcpm2p5;2;144;125;13.546
mcpm2p5;2;145;124;13.3325
mcpm2p5;2;145;125;13.29
mcpm2p5;2;148;209;12.295833333333334
mcpm2p5;2;152;13;14.312
mcpm2p5;2;154;120;14.456666666666663
mcpm2p5;2;168;75;27.87333333333333
mcpm2p5;2;179;55;20.77833333333333
mcpm2p5;2;197;85;14.71
mcpm2p5;2;197;86;15.983333333333334
mcpm2p5;2;198;85;14.56
mcpm2p5;2;198;86;14.915
mcpm2p5;2;206;140;16.56
mcpm2p5;2;206;141;16.1
mcpm2p5;2;207;140;15.22
mcpm2p5;2;225;143;25.4375
mcpm2p5;2;225;150;13.98
mcpm2p5;2;225;151;12.984545454545456
mcpm2p5;3;153;119;19.216666666666665
ta;1;26;149;2.339130434782609
ta;1;75;125;5.479824561403509
ta;1;108;107;6.184955752212389
ta;1;109;84;5.12280701754386
ta;1;112;125;4.714159292035399
ta;1;114;117;8.2
ta;1;115;84;7.784070796460178
ta;1;138;182;2.8354399954715506
ta;1;139;97;9.17280701754386
ta;1;141;95;6.606194690265487
ta;1;146;103;6.330357142857143
ta;1;155;114;5.873968705547653
ta;1;212;125;4.925663716814159
ta;1;217;150;11.03157894736842
ta;1;222;68;3.9398230088495576
ta;2;24;51;5.646666666666667
ta;2;62;84;5.2322033898305085
ta;2;62;85;5.4
