op;Thing;Longitude;Latitude;Result
mcpm10;1;108;107;2.5789523809523813
mcpm10;1;112;125;1.906095238095238
mcpm10;1;120;66;1.911898016997167
mcpm10;1;129;104;2.7531132075471696
mcpm10;1;137;23;2.501650485436893
mcpm10;1;137;91;2.210924369747899
mcpm10;1;138;84;4.170582524271844
mcpm10;1;138;182;5.238418518739948
mcpm10;1;141;87;2.93578431372549
mcpm10;1;142;194;1.9155238095238092
mcpm10;1;146;97;2.676372549019608
mcpm10;1;146;103;5.352980769230769
mcpm10;1;155;114;1.9711831334475536
mcpm10;1;212;125;26.965714285714284
mcpm10;1;217;150;1.2795238095238095
mcpm10;1;222;68;2.368640776699029
mcpm10;1;245;116;1.4614563106796117
mcpm10;2;94;191;40.19
mcpm10;2;95;191;40.25
mcpm10;2;118;113;3.7083050847457626
mcpm10;2;133;86;72.0
mcpm10;2;136;96;7.3775
mcpm10;2;136;181;10.3
mcpm10;2;136;182;11.2
mcpm10;2;137;180;9.95
mcpm10;2;137;181;10.085714285714284
mcpm10;2;138;180;11.2
mcpm10;2;139;75;7.413333333333333
mcpm10;2;145;124;9.774166666666668
mcpm10;2;148;209;54.60833333333334
mcpm10;2;151;13;45.0
mcpm10;2;152;12;46.05
mcpm10;2;152;13;46.17142857142857
mcpm10;2;153;120;34.47416666666667
mcpm10;2;179;55;7.530833333333334
mcpm10;2;199;1;24.314166666666665
mcpm10;2;225;150;44.12222222222223
mcpm10;2;225;151;43.06666666666666
mcpm10;3;136;125;8.2
mcpm10;3;139;76;5.058333333333334
mcpm10;3;153;120;5.325
mcpm10;3;154;120;5.625
mcpm2p5;1;108;107;0.5066666666666667
mcpm2p5;1;112;125;0.5840952380952381
mcpm2p5;1;120;66;0.7526912181303116
mcpm2p5;1;129;104;0.6489622641509435
mcpm2p5;1;137;23;0.7050485436893205
mcpm2p5;1;137;91;0.8044817927170868
mcpm2p5;1;138;84;1.0214563106796115
mcpm2p5;1;138;182;4.461067521506259
mcpm2p5;1;141;87;0.8217647058823531
mcpm2p5;1;142;194;0.2625714285714285
mcpm2p5;1;146;97;0.7369607843137255
mcpm2p5;1;146;103;4.080480769230769
mcpm2p5;1;155;114;0.669965733866362
mcpm2p5;1;212;125;26.965714285714284
mcpm2p5;1;217;150;0.3322857142857143
mcpm2p5;1;222;68;0.8144660194174758
mcpm2p5;1;245;116;0.5041747572815534
mcpm2p5;2;94;191;26.33
mcpm2p5;2;95;191;26.6
mcpm2p5;2;118;113;1.4226666666666667
mcpm2p5;2;133;86;50.01666666666667
