op;Thing;Longitude;Latitude;Result
mcpm10;1;75;125;55.23541666666667
mcpm10;1;90;98;37.66826530612245
mcpm10;1;108;107;35.776813186813186
mcpm10;1;109;84;9.329411764705885
mcpm10;1;112;125;43.32106382978724
mcpm10;1;115;84;30.67904255319149
mcpm10;1;129;104;11.297087378640777
mcpm10;1;131;102;6.253627450980392
mcpm10;1;137;75;31.57893175074184
mcpm10;1;138;84;50.64402173913044
mcpm10;1;138;182;16.105945751670514
mcpm10;1;139;75;7.980833333333333
mcpm10;1;139;97;32.92701030927835
mcpm10;1;141;87;8.005555555555555
mcpm10;1;141;95;31.710967741935484
mcpm10;1;143;189;33.8284
mcpm10;1;146;97;0.1290322580645161
mcpm10;1;146;103;37.74369565217391
mcpm10;1;155;114;36.30061475409836
mcpm10;1;161;235;39.71413043478261
mcpm10;1;212;125;45.387789473684215
mcpm10;1;217;150;16.716947368421053
mcpm10;1;222;68;43.90268817204301
mcpm10;2;57;34;44.45083333333333
mcpm10;2;117;69;41.41
mcpm10;2;118;69;38.925
mcpm10;2;118;113;35.43
mcpm10;2;119;112;35.788333333333334
mcpm10;2;119;113;35.028214285714284
mcpm10;2;131;148;30.87
mcpm10;2;132;148;30.619
mcpm10;2;136;96;36.74
mcpm10;2;139;97;25.75333333333333
mcpm10;2;144;117;38.616
mcpm10;2;144;118;39.67
mcpm10;2;145;117;39.04
mcpm10;2;153;120;52.99666666666665
mcpm10;2;154;120;39.43527777777778
mcpm10;2;199;1;34.094166666666666
mcpm2p5;1;75;125;26.0815625
mcpm2p5;1;90;98;17.378979591836735
mcpm2p5;1;108;107;16.057362637362637
mcpm2p5;1;109;84;9.329411764705885
mcpm2p5;1;112;125;20.848085106382975
mcpm2p5;1;115;84;16.824680851063828
mcpm2p5;1;129;104;11.297087378640777
mcpm2p5;1;131;102;2.9962745098039214
mcpm2p5;1;137;75;18.024035608308605
mcpm2p5;1;138;84;21.613260869565217
mcpm2p5;1;138;182;11.536542380350479
mcpm2p5;1;139;75;7.980833333333333
mcpm2p5;1;139;97;17.025876288659795
mcpm2p5;1;141;87;8.005555555555555
mcpm2p5;1;141;95;15.467096774193548
mcpm2p5;1;143;189;18.6044
mcpm2p5;1;146;97;0.1290322580645161
mcpm2p5;1;146;103;20.076521739130435
mcpm2p5;1;155;114;17.811052209550965
mcpm2p5;1;161;235;15.81641304347826
mcpm2p5;1;212;125;19.22021052631579
mcpm2p5;1;217;150;6.138736842105263
mcpm2p5;1;222;68;21.69989247311828
mcpm2p5;2;57;34;38.44083333333333
mcpm2p5;2;117;69;36.69
mcpm2p5;2;118;69;32.64666666666667
mcpm2p5;2;118;113;30.533461538461538
mcpm2p5;2;119;112;32.22833333333333
mcpm2p5;2;119;113;30.28857142857143
mcpm2p5;2;131;148;27.12
mcpm2p5;2;132;148;26.269090909090902
mcpm2p5;2;136;96;31.96
mcpm2p5;2;139;97;21.234166666666667
mcpm2p5;2;144;117;32.626
mcpm2p5;2;144;118;32.28
mcpm2p5;2;145;117;33.038333333333334
mcpm2p5;2;153;120;33.55083333333335
mcpm2p5;2;154;120;33.45277777777778
mcpm2p5;2;199;1;27.714166666666667
ta;1;75;125;9.071875
ta;1;90;98;30.6616
ta;1;108;107;9.972527472527473
ta;1;109;84;9.329411764705885
ta;1;112;125;9.23723404255319
ta;1;115;84;10.861702127659576
ta;1;129;104;11.297087378640777
ta;1;131;102;6.253627450980392
ta;1;137;75;10.567032640949556
ta;1;138;84;10.7
ta;1;138;182;8.2390156437946
ta;1;139;75;7.980833333333333
ta;1;139;97;13.552577319587629
ta;1;141;87;8.005555555555555
ta;1;141;95;10.283870967741937
ta;1;143;189;33.54541666666667
ta;1;146;97;12.081720430107524
ta;1;146;103;10.309782608695652
ta;1;154;195;9.078494623655915
ta;1;155;114;10.463230577334283
ta;1;161;235;8.847826086956522
ta;1;212;125;8.581052631578947
ta;1;217;150;14.598947368421054
ta;1;222;68;6.426881720430108
ta;2;24;51;10.254166666666666
ta;2;57;34;9.166666666666666
ta;2;117;69;8.8
ta;2;118;69;9.25
ta;2;118;113;8.103846153846153
ta;2;119;112;8.1
ta;2;119;113;8.135714285714284
ta;2;129;99;9.384285714285712
ta;2;131;148;10.1
ta;2;132;148;10.309090909090909
ta;2;136;96;10.5
ta;2;137;185;9.4
ta;2;139;74;9.43
ta;2;139;97;14.3
ta;2;144;117;11.9
ta;2;144;118;12.5
ta;2;145;117;11.9
ta;2;152;121;9.314285714285717
ta;2;153;120;10.1033333333333
ta;2;154;120;11.049999999999999
ta;2;199;1;8.941666666666666
hur;1;75;125;99.90000000000002
hur;1;90;98;48.07408163265306
hur;1;108;107;99.9
hur;1;109;84;99.9
hur;1;112;125;99.9
hur;1;115;84;73.75425531914894
hur;1;129;104;90.45631067961163
hur;1;131;102;6.253627450980392
hur;1;137;75;57.28907139465876
hur;1;138;84;98.43152173913045
hur;1;138;182;69.64671626931322
hur;1;139;75;56.81430555555556
hur;1;139;97;79.64432989690722
hur;1;141;87;55.68472222222223
hur;1;141;95;99.9
hur;1;143;189;33.8284
hur;1;146;97;96.51290322580644
hur;1;146;103;93.41630434782608
hur;1;154;195;99.9
hur;1;155;114;92.31195652173913
hur;1;161;235;99.9
hur;1;212;125;99.9
hur;1;217;150;50.19684210526316
hur;1;222;68;99.9
hur;2;57;34;28.98333333333333
hur;2;117;69;29.2
hur;2;118;69;27.95
hur;2;118;113;28.503846153846155
hur;2;119;112;28.46666666666667
hur;2;119;113;28.47142857142857
hur;2;129;99;58.142857142857146
hur;2;131;148;27.5
hur;2;132;148;26.33636363636364
hur;2;136;96;25.4
hur;2;137;185;58.53
hur;2;139;74;60.3825
hur;2;139;97;20.566666666666663
hur;2;144;117;25.02
hur;2;144;118;24.4
hur;2;145;117;25.08333333333333
hur;2;152;121;57.43571428571429
hur;2;153;120;54.39
hur;2;154;120;26.59166666666667
hur;2;199;1;30.925
plev;1;137;75;958.3050869436204
plev;1;138;182;958.0838116564418
plev;2;129;99;1016.4271428571428
plev;2;137;185;956.8066666666668
plev;2;139;74;1015.0858333333334
plev;2;152;121;1019.7128571428572
plev;2;153;120;960.436666666667
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;-0.2431346026797739
wsx;2;129;99;-2.761923929534193
wsx;2;137;185;0.43203825418949
wsx;2;153;120;0.8780169754372181
wsy;2;24;51;6.445946546109561
wsy;2;129;99;2.127540747504788
wsy;2;137;185;5.727414933148824
wsy;2;153;120;2.4769881289267577
globalrad;2;129;99;0.0
globalrad;2;137;185;0.0
globalrad;2;139;74;0.0
s_label_0;3;148;209;61.0
s_label_1;3;118;69;78.0
s_label_2;3;133;86;79.0
s_label_3;3;131;102;53.0
