op;Thing;Longitude;Latitude;Result
mcpm10;1;108;107;29.94745283018868
mcpm10;1;112;125;34.39766355140187
mcpm10;1;120;66;7.970738636363635
mcpm10;1;129;104;11.864545454545452
mcpm10;1;137;23;36.26915094339623
mcpm10;1;137;75;24.35267605633803
mcpm10;1;137;91;29.538268156424586
mcpm10;1;138;84;40.38716981132075
mcpm10;1;138;182;33.704480146609164
mcpm10;1;141;87;41.98163461538461
mcpm10;1;142;194;24.03914285714286
mcpm10;1;146;97;35.84892156862745
mcpm10;1;146;103;28.27094339622641
mcpm10;1;155;114;26.05008670260557
mcpm10;1;212;125;44.87384615384615
mcpm10;1;217;150;15.41467289719626
mcpm10;1;222;68;40.51235849056605
mcpm10;1;245;116;48.570660377358486
mcpm10;2;94;191;15.8
mcpm10;2;95;191;14.836363636363636
mcpm10;2;116;202;15.2
mcpm10;2;128;189;14.9
mcpm10;2;129;188;15.1
mcpm10;2;131;102;36.86666666666667
mcpm10;2;132;183;15.7
mcpm10;2;134;183;15.15
mcpm10;2;135;182;16.6
mcpm10;2;136;96;23.098333333333333
mcpm10;2;138;180;16.7
mcpm10;2;139;75;30.504166666666663
mcpm10;2;139;179;15.2
mcpm10;2;145;124;21.8125
mcpm10;2;145;174;15.2
mcpm10;2;148;209;1.925
mcpm10;2;151;13;13.0
mcpm10;2;152;13;12.081818181818182
mcpm10;2;152;120;6.475
mcpm10;2;153;120;17.948333333333338
mcpm10;2;154;120;6.3
mcpm10;2;156;121;7.2
mcpm10;2;179;55;21.62333333333333
mcpm10;2;194;112;14.1
mcpm10;2;199;1;24.08
mcpm10;2;224;151;26.2
mcpm10;2;225;150;25.6
mcpm10;2;225;151;25.75
mcpm10;2;226;142;29.366666666666664
mcpm10;3;153;120;14.683333333333332
mcpm2p5;1;108;107;15.442735849056604
mcpm2p5;1;112;125;24.133644859813085
mcpm2p5;1;120;66;4.714730878186969
mcpm2p5;1;129;104;11.864545454545452
mcpm2p5;1;137;23;20.437075471698112
mcpm2p5;1;137;75;21.228450704225352
mcpm2p5;1;137;91;23.01033519553073
mcpm2p5;1;138;84;20.989528301886796
mcpm2p5;1;138;182;20.677383163867223
mcpm2p5;1;141;87;20.058365384615385
mcpm2p5;1;142;194;17.509714285714285
mcpm2p5;1;146;97;19.648627450980392
mcpm2p5;1;146;103;19.258584905660378
mcpm2p5;1;155;114;19.28966217430368
mcpm2p5;1;212;125;24.450769230769232
mcpm2p5;1;217;150;9.415514018691589
mcpm2p5;1;222;68;25.79867924528302
mcpm2p5;1;245;116;36.290754716981134
mcpm2p5;2;94;191;12.3
mcpm2p5;2;95;191;11.863636363636363
mcpm2p5;2;116;202;11.2
mcpm2p5;2;128;189;11.4
mcpm2p5;2;129;188;11.4
mcpm2p5;2;131;102;28.55
mcpm2p5;2;132;183;11.6
mcpm2p5;2;134;183;11.5
mcpm2p5;2;135;182;11.9
mcpm2p5;2;136;96;20.179166666666667
mcpm2p5;2;138;180;12.3
mcpm2p5;2;139;75;23.42333333333333
mcpm2p5;2;139;179;11.4
mcpm2p5;2;145;124;17.930833333333336
mcpm2p5;2;145;174;11.4
mcpm2p5;2;148;209;1.2166666666666668
mcpm2p5;2;151;13;13.0
mcpm2p5;2;152;13;12.081818181818182
mcpm2p5;2;152;120;6.475
mcpm2p5;2;153;120;15.75444444444444
mcpm2p5;2;154;120;6.3
mcpm2p5;2;156;121;7.2
mcpm2p5;2;179;55;19.8375
mcpm2p5;2;194;112;10.6
mcpm2p5;2;199;1;19.8625
mcpm2p5;2;224;151;23.2
mcpm2p5;2;225;150;23.2
mcpm2p5;2;225;151;23.27
mcpm2p5;2;226;142;21.8
mcpm2p5;3;153;120;12.991666666666667
ta;1;108;107;12.526415094339622
ta;1;112;125;11.893457943925233
ta;1;120;66;15.391189801699715
ta;1;129;104;11.864545454545452
ta;1;137;23;12.317924528301887
ta;1;137;75;12.012112676056338
ta;1;138;84;12.434905660377355
ta;1;138;182;11.07829477703807
ta;1;141;87;12.243269230769233
ta;1;142;194;12.95047619047619
ta;1;146;97;12.826470588235294
ta;1;146;103;12.05754716981132
ta;1;155;114;12.257964959568735
ta;1;212;125;11.63076923076923
ta;1;217;150;14.690654205607478
ta;1;222;68;11.90188679245283
ta;1;245;116;11.459433962264152
ta;2;24;51;10.2925
ta;2;94;191;14.1
ta;2;95;191;13.736363636363636
ta;2;116;202;14.1
ta;2;128;189;13.7
ta;2;129;99;9.873333333333331
ta;2;129;188;13.6
ta;2;131;102;20.26666666666667
ta;2;132;183;14.1
ta;2;134;183;14.1
ta;2;135;182;14.7
ta;2;136;96;25.125
ta;2;137;185;11.675
ta;2;138;180;14.2
ta;2;139;74;10.510833333333332
ta;2;139;75;25.325
ta;2;139;179;14.0
ta;2;145;124;25.775
ta;2;145;174;13.8
ta;2;148;209;15.025
ta;2;151;13;14.3
ta;2;152;13;13.97272727272727
ta;2;152;120;15.025
ta;2;152;121;10.700833333333334
ta;2;153;120;18.818888888888896
ta;2;154;120;15.3
ta;2;156;121;15.2
ta;2;179;55;25.183333333333334
ta;2;194;112;13.7
ta;2;199;1;25.20833333333333
ta;2;224;151;13.9
ta;2;225;150;14.3
ta;2;225;151;14.01
ta;2;226;142;18.666666666666668
ta;3;153;120;11.483333333333334
hur;1;108;107;99.90000000000002
hur;1;112;125;99.9
hur;1;120;66;74.30999104815864
hur;1;129;104;99.9
hur;1;137;23;99.90000000000002
hur;1;137;75;99.71434326760564
hur;1;138;84;99.90000000000002
hur;1;138;182;92.56806593406594
hur;1;141;87;99.9
hur;1;142;194;99.9
hur;1;146;97;99.9
hur;1;146;103;99.90000000000002
hur;1;155;114;99.9
hur;1;212;125;99.9
hur;1;217;150;99.9
hur;1;222;68;99.90000000000002
hur;1;245;116;99.90000000000002
hur;2;94;191;50.0
hur;2;95;191;50.68181818181818
hur;2;116;202;48.1
hur;2;128;189;48.0
hur;2;129;99;99.99
hur;2;129;188;47.7
hur;2;131;102;39.50833333333333
hur;2;132;183;47.7
hur;2;134;183;47.7
hur;2;135;182;47.6
hur;2;136;96;45.275
hur;2;137;185;89.7275
hur;2;138;180;47.6
hur;2;139;74;99.51333333333334
hur;2;139;75;43.80833333333334
hur;2;139;179;47.8
hur;2;145;124;41.36666666666667
hur;2;145;174;47.8
hur;2;148;209;50.79166666666666
hur;2;151;13;48.2
hur;2;152;13;47.3
hur;2;152;120;45.5
hur;2;152;121;99.66916666666668
hur;2;153;120;56.03
hur;2;154;120;44.9
hur;2;156;121;45.0
hur;2;179;55;45.708333333333336
hur;2;194;112;47.9
hur;2;199;1;45.85833333333333
hur;2;224;151;45.6
hur;2;225;150;45.5
hur;2;225;151;45.23
hur;2;226;142;40.8
hur;3;153;120;90.76666666666668
plev;1;120;66;962.7160011331443
plev;1;137;75;961.5614687323944
plev;1;138;182;961.0998333333332
plev;2;129;99;1018.3958333333334
plev;2;137;185;957.4633333333333
plev;2;139;74;1016.6333333333332
plev;2;152;121;1017.2341666666666
plev;2;153;120;961.806666666667
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;6.658568303599669
wsx;2;129;99;6.783098359449361
wsx;2;137;185;5.975948543092078
wsx;2;152;121;5.070252391537595
wsx;2;153;120;3.023280407793409
wsy;2;24;51;-1.9559299633851344
wsy;2;129;99;-0.3358663142009885
wsy;2;137;185;-0.7577821168856061
wsy;2;152;121;-1.9849651079010369
wsy;2;153;120;0.065966475216722
globalrad;2;129;99;63.97416666666667
globalrad;2;137;185;185.8141666666667
globalrad;2;139;74;43.439166666666665
s_label_0;3;148;209;10.0
s_label_1;3;118;69;14.0
s_label_2;3;133;86;19.0
s_label_3;3;131;102;16.0
