op;Thing;Longitude;Latitude;Result
mcpm10;1;75;125;21.102456140350878
mcpm10;1;90;98;21.83721739130435
mcpm10;1;108;107;14.826608695652174
mcpm10;1;109;84;7.366086956521739
mcpm10;1;112;125;19.87122807017544
mcpm10;1;115;84;15.15043859649123
mcpm10;1;129;104;10.508771929824562
mcpm10;1;131;102;3.918272727272728
mcpm10;1;137;75;17.986197183098593
mcpm10;1;138;84;30.89034782608696
mcpm10;1;138;182;12.66121003825259
mcpm10;1;139;75;5.695492957746479
mcpm10;1;139;97;16.80938596491228
mcpm10;1;141;87;5.85112676056338
mcpm10;1;141;95;17.481929824561405
mcpm10;1;143;189;18.23443478260869
mcpm10;1;146;97;28.231743119266056
mcpm10;1;146;103;15.174298245614034
mcpm10;1;155;114;12.87370672255861
mcpm10;1;161;235;11.425087719298244
mcpm10;1;212;125;19.462086956521738
mcpm10;1;217;150;6.607130434782609
mcpm10;1;222;68;18.90017391304348
mcpm10;2;57;34;18.014166666666668
mcpm10;2;118;69;15.29
mcpm10;2;118;113;14.454193548387096
mcpm10;2;119;112;12.963636363636365
mcpm10;2;119;113;15.053888888888888
mcpm10;2;132;148;17.665000000000003
mcpm10;2;136;96;16.065833333333334
mcpm10;2;137;181;16.914166666666667
mcpm10;2;139;97;13.026666666666666
mcpm10;2;144;117;17.247999999999998
mcpm10;2;145;117;17.6
mcpm10;2;153;120;22.0175
mcpm10;2;154;120;16.007916666666667
mcpm10;2;199;1;16.528333333333332
mcpm10;3;153;120;21.28333333333333
mcpm2p5;1;75;125;12.55719298245614
mcpm2p5;1;90;98;12.56382608695652
mcpm2p5;1;108;107;7.821478260869566
mcpm2p5;1;109;84;7.366086956521739
mcpm2p5;1;112;125;11.684824561403508
mcpm2p5;1;115;84;9.454736842105262
mcpm2p5;1;129;104;10.508771929824562
mcpm2p5;1;131;102;1.8774545454545453
mcpm2p5;1;137;75;12.928248587570623
mcpm2p5;1;138;84;14.442695652173914
mcpm2p5;1;138;182;9.057432625162742
mcpm2p5;1;139;75;5.695492957746479
mcpm2p5;1;139;97;9.282192982456142
mcpm2p5;1;141;87;5.85112676056338
mcpm2p5;1;141;95;9.181754385964911
mcpm2p5;1;143;189;10.942173913043478
mcpm2p5;1;146;97;13.03
mcpm2p5;1;146;103;7.893947368421053
mcpm2p5;1;155;114;7.264617683589505
mcpm2p5;1;161;235;6.357192982456141
mcpm2p5;1;212;125;10.691304347826089
mcpm2p5;1;217;150;3.68504347826087
mcpm2p5;1;222;68;12.631478260869564
mcpm2p5;2;57;34;16.75583333333333
mcpm2p5;2;118;69;13.4425
mcpm2p5;2;118;113;12.54516129032258
mcpm2p5;2;119;112;11.162727272727272
mcpm2p5;2;119;113;12.921666666666669
mcpm2p5;2;132;148;15.3275
mcpm2p5;2;136;96;14.2025
mcpm2p5;2;137;181;14.633333333333333
mcpm2p5;2;139;97;11.1
mcpm2p5;2;144;117;14.968
mcpm2p5;2;145;117;14.6
mcpm2p5;2;153;120;13.0425
mcpm2p5;2;154;120;14.095833333333331
mcpm2p5;2;199;1;13.7375
mcpm2p5;3;153;120;13.383333333333333
ta;1;75;125;7.307894736842106
ta;1;90;98;6.426956521739131
ta;1;108;107;8.111304347826087
ta;1;109;84;7.366086956521739
ta;1;112;125;7.89298245614035
ta;1;115;84;9.77543859649123
ta;1;129;104;10.508771929824562
ta;1;131;102;3.918272727272728
ta;1;137;75;9.249774647887325
ta;1;138;84;9.517391304347829
ta;1;138;182;5.806506535947713
ta;1;139;75;5.695492957746479
ta;1;139;97;13.090350877192982
ta;1;141;87;5.85112676056338
