op;Thing;Longitude;Latitude;Result
mcpm10;2;57;34;14.3125
mcpm10;2;62;84;8.233833333333333
mcpm10;2;73;123;8.805
mcpm10;2;74;123;9.973
mcpm10;2;94;191;0.039090909090909
mcpm10;2;95;191;0.04
mcpm10;2;115;123;8.6
mcpm10;2;116;121;7.59
mcpm10;2;116;122;7.384
mcpm10;2;117;69;12.095
mcpm10;2;118;69;10.571000000000002
mcpm10;2;131;102;7.330000000000001
mcpm10;2;131;148;12.446666666666667
mcpm10;2;132;148;11.32
mcpm10;2;139;75;11.908333333333331
mcpm10;2;151;13;6.483333333333333
mcpm10;2;152;13;6.587192982456141
mcpm10;2;153;120;7.9175
mcpm10;2;168;75;16.371666666666666
mcpm10;2;225;143;12.079166666666666
mcpm10;2;225;150;7.581666666666667
mcpm2p5;2;57;34;13.527500000000002
mcpm2p5;2;62;84;7.230333333333333
mcpm2p5;2;73;123;8.1
mcpm2p5;2;74;123;8.586
mcpm2p5;2;94;191;0.039090909090909
mcpm2p5;2;95;191;0.04
mcpm2p5;2;115;123;6.63
mcpm2p5;2;116;121;6.65
mcpm2p5;2;116;122;6.455
mcpm2p5;2;117;69;10.96
mcpm2p5;2;118;69;9.664
mcpm2p5;2;131;102;6.640000000000001
mcpm2p5;2;131;148;10.086666666666666
mcpm2p5;2;132;148;10.065555555555555
mcpm2p5;2;139;75;10.988333333333337
mcpm2p5;2;151;13;6.133333333333333
mcpm2p5;2;152;13;5.801052631578948
mcpm2p5;2;153;120;6.903333333333333
mcpm2p5;2;168;75;14.94
mcpm2p5;2;225;143;11.271666666666668
mcpm2p5;2;225;150;6.798333333333333
ta;2;24;51;20.0825
ta;2;57;34;21.95833333333333
ta;2;62;84;20.828333333333333
ta;2;73;123;21.35
ta;2;74;123;21.75
ta;2;94;191;22.418181818181814
ta;2;95;191;23.0
ta;2;115;123;23.6
ta;2;116;121;23.4
ta;2;116;122;23.54
ta;2;117;69;20.6
ta;2;118;69;20.83
ta;2;129;99;20.765833333333333
ta;2;131;102;22.23333333333333
ta;2;131;148;21.633333333333336
ta;2;132;148;21.688888888888886
ta;2;137;185;18.8125
ta;2;139;74;20.765833333333333
ta;2;139;75;22.675
ta;2;151;13;22.633333333333336
ta;2;152;13;22.73859649122807
ta;2;152;121;20.56
ta;2;153;120;22.98333333333333
ta;2;168;75;23.48333333333333
ta;2;225;143;23.83333333333333
ta;2;225;150;23.058333333333334
hur;2;57;34;58.19166666666666
hur;2;62;84;32.09166666666667
hur;2;73;123;30.65
hur;2;74;123;29.84
hur;2;94;191;36.41818181818182
hur;2;95;191;35.6
hur;2;115;123;27.9
hur;2;116;121;27.6
hur;2;116;122;27.81
hur;2;117;69;34.7
hur;2;118;69;34.28
hur;2;129;99;66.5825
hur;2;131;102;31.46666666666667
hur;2;131;148;32.23333333333333
hur;2;132;148;32.21111111111111
hur;2;137;185;72.5725
hur;2;139;74;69.28833333333334
hur;2;139;75;32.75833333333333
hur;2;151;13;30.2
hur;2;152;13;30.09649122807017
hur;2;152;121;68.18833333333333
hur;2;153;120;29.70833333333333
hur;2;168;75;31.316666666666663
hur;2;225;143;31.225
hur;2;225;150;30.066666666666663
plev;2;129;99;1016.3166666666666
plev;2;137;185;958.2175
plev;2;139;74;1016.355
plev;2;152;121;1015.725
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;-9.894624329648936
wsx;2;129;99;0.1908560077015094
wsx;2;137;185;-6.35036490728202
wsx;2;152;121;-0.2990327850008215
wsy;2;24;51;3.6311629998984265
wsy;2;129;99;-0.0645306840577852
wsy;2;137;185;1.812142638642693
wsy;2;152;121;-0.1158881374410668
globalrad;2;129;99;20.375833333333333
globalrad;2;137;185;0.0
globalrad;2;139;74;4.726666666666667
s_label_0;3;148;209;9.0
s_label_1;3;118;69;11.0
s_label_2;3;133;86;21.0
s_label_3;3;131;102;12.0
