op;Thing;Longitude;Latitude;Result
mcpm10;1;108;107;3.794770642201835
mcpm10;1;137;75;2.237450199203187
mcpm10;1;139;97;2.403703703703704
mcpm10;1;212;125;5.5564485981308405
mcpm10;1;222;68;5.994311926605505
mcpm10;2;57;34;4.390833333333333
mcpm10;2;72;44;3.85
mcpm10;2;72;45;3.56
mcpm10;2;73;43;3.87
mcpm10;2;73;44;4.227777777777778
mcpm10;2;73;123;2.4833333333333334
mcpm10;2;94;191;2.64625
mcpm10;2;95;191;2.5525
mcpm10;2;116;121;2.96
mcpm10;2;116;122;2.043
mcpm10;2;118;69;1.725833333333333
mcpm10;2;118;112;2.1966666666666668
mcpm10;2;118;113;2.0744444444444445
mcpm10;2;119;113;2.0813333333333333
mcpm10;2;131;102;2.234545454545455
mcpm10;2;131;103;2.32
mcpm10;2;131;148;3.2980000000000005
mcpm10;2;132;86;0.25
mcpm10;2;132;148;2.8428571428571425
mcpm10;2;133;86;0.3542857142857142
mcpm10;2;133;87;0.315
mcpm10;2;136;182;0.0
mcpm10;2;137;181;1.105
mcpm10;2;137;182;0.075
mcpm10;2;138;96;2.2
mcpm10;2;138;181;2.735
mcpm10;2;139;75;2.458333333333333
mcpm10;2;139;97;2.1563636363636363
mcpm10;2;145;124;2.325833333333333
mcpm10;2;148;209;2.1758333333333333
mcpm10;2;152;13;2.6727272727272724
mcpm10;2;153;120;3.009994350282485
mcpm10;2;154;120;0.91
mcpm10;2;168;75;2.765
mcpm10;2;179;55;2.396666666666667
mcpm10;2;198;85;2.0166666666666666
mcpm10;2;199;1;4.569166666666667
mcpm10;2;225;151;2.674166666666667
mcpm10;3;137;181;5.699999999999999
mcpm10;3;137;184;4.61
mcpm10;3;139;75;4.1625
mcpm10;3;139;76;4.324999999999999
mcpm10;3;139;97;4.55
mcpm10;3;153;119;2.7
mcpm10;3;153;120;3.1
mcpm10;3;153;121;3.2
mcpm10;3;154;120;4.05
mcpm2p5;1;108;107;2.2208256880733943
mcpm2p5;1;137;75;1.704382470119522
mcpm2p5;1;139;97;1.2423148148148146
mcpm2p5;1;212;125;3.511401869158879
mcpm2p5;1;222;68;4.409908256880734
mcpm2p5;2;57;34;3.3441666666666667
mcpm2p5;2;72;44;3.09
mcpm2p5;2;72;45;3.19
mcpm2p5;2;73;43;3.42
mcpm2p5;2;73;44;3.301111111111111
mcpm2p5;2;73;123;2.3666666666666667
mcpm2p5;2;94;191;1.55625
mcpm2p5;2;95;191;1.4449999999999998
mcpm2p5;2;116;121;2.02
