op;Thing;Longitude;Latitude;Result
mcpm10;1;108;107;5.827924528301887
mcpm10;1;112;125;6.694339622641509
mcpm10;1;120;66;5.340384797986991
mcpm10;1;129;104;5.516603773584905
mcpm10;1;137;75;5.652407932011331
mcpm10;1;137;91;5.704761904761905
mcpm10;1;138;84;6.868584905660378
mcpm10;1;138;182;6.406609942422468
mcpm10;1;141;87;4.320952380952381
mcpm10;1;141;94;6.076815642458101
mcpm10;1;142;194;5.477264150943396
mcpm10;1;146;97;8.173679245283019
mcpm10;1;146;103;6.797238095238096
mcpm10;1;155;114;5.237969451931717
mcpm10;1;161;235;8.280754716981132
mcpm10;2;118;68;9.1
mcpm10;2;118;113;14.658846153846154
mcpm10;2;118;114;15.61
mcpm10;2;119;112;14.048333333333334
mcpm10;2;119;113;13.44074074074074
mcpm10;2;136;180;8.1
mcpm10;2;137;180;6.65
mcpm10;2;137;181;11.890833333333333
mcpm10;2;137;182;11.746666666666666
mcpm10;2;138;181;15.085
mcpm10;2;138;182;12.93
mcpm10;2;139;75;14.613333333333337
mcpm10;2;144;117;15.17
mcpm10;2;144;118;13.39
mcpm10;2;145;117;14.742
mcpm10;2;145;124;14.9275
mcpm10;2;148;209;1.8416666666666668
mcpm10;2;151;119;1.8
mcpm10;2;152;118;2.5
mcpm10;2;152;119;1.95
mcpm10;2;153;119;10.598888888888888
mcpm10;2;153;120;11.010505050505051
mcpm10;2;179;55;11.98
mcpm10;3;139;75;9.091666666666669
mcpm10;3;153;119;8.68
mcpm10;3;153;120;8.456547619047619
mcpm2p5;1;108;107;2.236792452830189
mcpm2p5;1;112;125;2.9450000000000003
mcpm2p5;1;120;66;2.7755246166263117
mcpm2p5;1;129;104;2.130188679245283
mcpm2p5;1;137;75;2.7429378531073447
mcpm2p5;1;137;91;2.585994397759104
mcpm2p5;1;138;84;2.829811320754717
mcpm2p5;1;138;182;3.3895922795335824
mcpm2p5;1;141;87;1.880190476190476
mcpm2p5;1;141;94;2.627932960893854
mcpm2p5;1;142;194;1.9603773584905664
mcpm2p5;1;146;97;3.070377358490566
mcpm2p5;1;146;103;2.985047619047619
mcpm2p5;1;155;114;2.337404312668464
mcpm2p5;1;161;235;2.690377358490566
mcpm2p5;2;118;68;5.75
mcpm2p5;2;118;113;4.646153846153846
mcpm2p5;2;118;114;4.08
mcpm2p5;2;119;112;4.338333333333334
mcpm2p5;2;119;113;4.505555555555556
mcpm2p5;2;136;180;4.8
mcpm2p5;2;137;180;4.449999999999999
mcpm2p5;2;137;181;5.149166666666666
mcpm2p5;2;137;182;5.0600000000000005
mcpm2p5;2;138;181;5.245
mcpm2p5;2;138;182;5.006
mcpm2p5;2;139;75;5.789166666666667
mcpm2p5;2;144;117;5.0375
mcpm2p5;2;144;118;4.913333333333333
mcpm2p5;2;145;117;5.378
mcpm2p5;2;145;124;5.572500000000001
mcpm2p5;2;148;209;1.0833333333333333
mcpm2p5;2;151;119;1.1
mcpm2p5;2;152;118;1.6
mcpm2p5;2;152;119;1.3250000000000002
mcpm2p5;2;153;119;4.068888888888889
mcpm2p5;2;153;120;13.585455772005755
mcpm2p5;2;179;55;4.220833333333333
mcpm2p5;3;139;75;5.55
mcpm2p5;3;153;119;5.4
mcpm2p5;3;153;120;5.279761904761905
ta;1;108;107;20.30566037735849
ta;1;112;125;18.525471698113208
ta;1;120;66;22.215033485685268
ta;1;129;104;20.05754716981132
ta;1;137;75;18.52279661016949
ta;1;137;91;24.72635854341737
ta;1;138;84;23.12547169811321
ta;1;138;182;17.04580460955581
ta;1;141;87;27.83047619047619
ta;1;141;94;21.56645251396648
ta;1;142;194;18.25
ta;1;146;97;19.41698113207547
ta;1;146;103;21.860952380952384
ta;1;155;114;19.791819407008084
ta;1;161;235;18.85283018867925
ta;2;24;51;17.599166666666665
ta;2;118;68;19.366666666666667
ta;2;118;113;26.957692307692305
ta;2;118;114;26.8
ta;2;119;112;27.183333333333334
ta;2;119;113;27.18148148148148
ta;2;129;99;20.7525
ta;2;136;180;20.6
ta;2;137;180;20.2
ta;2;137;181;23.675
ta;2;137;182;24.0
ta;2;137;185;23.456666666666667
ta;2;138;181;26.85
ta;2;138;182;26.92
ta;2;139;74;19.890833333333333
ta;2;139;75;27.425
ta;2;144;117;27.35
ta;2;144;118;27.433333333333334
ta;2;145;117;27.26
ta;2;145;124;27.741666666666664
ta;2;148;209;21.116666666666667
ta;2;151;119;19.8
ta;2;152;118;18.6
ta;2;152;119;18.825
ta;2;152;121;21.93166666666667
ta;2;153;119;24.355555555555554
ta;2;153;120;22.599018759018758
ta;2;179;55;28.883333333333336
ta;3;139;75;17.966666666666665
ta;3;153;119;17.8
ta;3;153;120;18.301785714285714
hur;1;108;107;99.66886792452831
hur;1;112;125;99.90000000000002
hur;1;120;66;58.282634562146896
hur;1;129;104;99.90000000000002
hur;1;137;75;77.92409305084746
hur;1;137;91;47.856303165266105
hur;1;138;84;97.50754716981132
hur;1;138;182;92.80022919100816
hur;1;141;87;93.44285714285714
hur;1;141;94;61.61861407821229
hur;1;142;194;99.90000000000002
hur;1;146;97;99.90000000000002
hur;1;146;103;96.60857142857142
hur;1;155;114;98.33000000000001
hur;1;161;235;99.90000000000002
hur;2;118;68;44.55833333333334
hur;2;118;113;41.78076923076923
hur;2;118;114;42.7
hur;2;119;112;41.31666666666667
hur;2;119;113;41.02222222222222
hur;2;129;99;68.72500000000001
hur;2;136;180;43.6
hur;2;137;180;43.55
hur;2;137;181;44.09166666666667
hur;2;137;182;42.81666666666666
hur;2;137;185;60.115
hur;2;138;181;43.05
hur;2;138;182;42.62
hur;2;139;74;74.07583333333334
hur;2;139;75;38.90833333333333
hur;2;144;117;39.45
hur;2;144;118;39.6
hur;2;145;117;40.38
hur;2;145;124;37.25
hur;2;148;209;50.6
hur;2;151;119;45.1
hur;2;152;118;46.2
hur;2;152;119;46.325
hur;2;152;121;61.91916666666666
hur;2;153;119;43.41111111111112
hur;2;153;120;47.760339105339106
hur;2;179;55;33.86666666666667
hur;3;139;75;73.7
hur;3;153;119;75.47999999999999
hur;3;153;120;73.36369047619047
plev;1;120;66;964.3911918832921
plev;1;137;75;963.2050830508476
plev;1;137;91;963.6731717086836
plev;1;138;182;962.8199682997116
plev;1;141;94;963.4283684357542
plev;2;129;99;1018.7591666666668
plev;2;137;185;958.9333333333334
plev;2;139;74;1017.9783333333334
plev;2;152;121;1015.4766666666668
plev;2;153;120;963.388333333333
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;1.122490865459825
wsx;2;129;99;2.754819199451265
wsx;2;137;185;6.932110306830285
wsx;2;152;121;0.9940382901372116
wsx;2;153;120;0.1087248591298917
wsy;2;24;51;-6.38254704383638
wsy;2;129;99;-2.798786530705634
wsy;2;137;185;0.7143458443035747
wsy;2;152;121;-2.888630557020709
wsy;2;153;120;-2.1812920265308797
globalrad;2;129;99;336.2225
globalrad;2;137;185;644.0383333333333
globalrad;2;139;74;245.05166666666665
s_label_0;3;148;209;6.0
s_label_1;3;118;69;9.0
s_label_2;3;133;86;7.0
s_label_3;3;131;102;12.0
