op;Thing;Longitude;Latitude;Result
mcpm10;1;75;125;2.018793103448276
mcpm10;1;108;107;1.3183478260869566
mcpm10;1;109;84;12.095726495726495
mcpm10;1;112;125;1.4487068965517242
mcpm10;1;115;84;0.960344827586207
mcpm10;1;131;102;2.292155172413793
mcpm10;1;136;120;2.778205128205128
mcpm10;1;138;182;5.720503052503053
mcpm10;1;146;103;1.6098260869565215
mcpm10;1;155;114;6.553695652173913
mcpm10;1;217;150;0.6606837606837607
mcpm10;1;222;68;1.6587931034482757
mcpm10;1;245;116;12.572413793103449
mcpm10;2;57;34;3.022
mcpm10;2;57;35;3.02
mcpm10;2;62;84;1.0978333333333334
mcpm10;2;74;123;1.843333333333333
mcpm10;2;94;191;1.56
mcpm10;2;95;191;1.75
mcpm10;2;116;122;1.3949999999999998
mcpm10;2;117;68;0.7166666666666667
mcpm10;2;118;68;0.8025
mcpm10;2;118;69;0.578
mcpm10;2;131;148;1.395
mcpm10;2;132;148;1.6466666666666667
mcpm10;2;132;149;1.3
mcpm10;2;139;75;2.408333333333333
mcpm10;2;148;209;1.1466666666666667
mcpm10;2;224;143;5.466666666666666
mcpm10;2;225;143;5.454444444444444
mcpm10;2;225;151;2.2383333333333333
mcpm10;3;139;75;1.86
mcpm2p5;1;75;125;1.0599137931034484
mcpm2p5;1;108;107;0.5609565217391305
mcpm2p5;1;109;84;12.095726495726495
mcpm2p5;1;112;125;1.000344827586207
mcpm2p5;1;115;84;0.6642241379310344
mcpm2p5;1;131;102;0.9788793103448276
mcpm2p5;1;136;120;1.2071794871794872
mcpm2p5;1;138;182;3.7813269230769238
mcpm2p5;1;146;103;0.8902608695652173
mcpm2p5;1;155;114;6.405913043478261
mcpm2p5;1;217;150;0.2258974358974358
mcpm2p5;1;222;68;1.115
mcpm2p5;1;245;116;12.572413793103449
mcpm2p5;2;57;34;1.992
mcpm2p5;2;57;35;1.645
mcpm2p5;2;62;84;0.5855
mcpm2p5;2;74;123;0.8808333333333334
mcpm2p5;2;94;191;0.688
mcpm2p5;2;95;191;0.735
mcpm2p5;2;116;122;0.8033333333333333
mcpm2p5;2;117;68;0.4966666666666666
mcpm2p5;2;118;68;0.51
mcpm2p5;2;118;69;0.388
mcpm2p5;2;131;148;0.665
mcpm2p5;2;132;148;0.8577777777777779
mcpm2p5;2;132;149;0.87
