op;Thing;Longitude;Latitude;Result
mcpm10;1;75;125;45.899565217391306
mcpm10;1;108;107;31.722608695652173
mcpm10;1;109;84;1.3060344827586208
mcpm10;1;112;125;32.91965517241379
mcpm10;1;131;102;42.24564516129032
mcpm10;1;138;182;42.06825404929115
mcpm10;1;143;189;25.305948275862068
mcpm10;1;146;103;21.273739130434784
mcpm10;1;155;114;18.727826086956522
mcpm10;1;212;125;49.18293103448276
mcpm10;1;217;150;18.076837606837604
mcpm10;1;222;68;36.24921739130435
mcpm10;2;57;34;28.719166666666663
mcpm10;2;62;84;9.947627118644068
mcpm10;2;74;123;12.666666666666666
mcpm10;2;94;191;11.034166666666666
mcpm10;2;116;31;15.640833333333331
mcpm10;2;116;122;16.074166666666667
mcpm10;2;117;69;8.600000000000001
mcpm10;2;118;69;8.919
mcpm10;2;118;112;7.84
mcpm10;2;118;113;8.159
mcpm10;2;119;112;8.05
mcpm10;2;131;102;14.9875
mcpm10;2;131;148;16.1
mcpm10;2;132;148;16.37
mcpm10;2;136;96;14.699166666666663
mcpm10;2;138;181;16.985
mcpm10;2;139;75;26.62833333333333
mcpm10;2;139;97;12.325833333333334
mcpm10;2;148;209;9.678333333333333
mcpm10;2;151;13;9.242941176470588
mcpm10;2;152;13;8.91906976744186
mcpm10;2;153;120;17.184166666666666
mcpm10;2;168;75;35.4425
mcpm10;2;206;139;15.87
mcpm10;2;206;140;16.70909090909091
mcpm10;2;225;143;27.335
mcpm10;3;139;75;13.323333333333332
mcpm2p5;1;75;125;30.27017391304348
mcpm2p5;1;108;107;16.326608695652173
mcpm2p5;1;109;84;1.3060344827586208
mcpm2p5;1;112;125;28.318706896551724
mcpm2p5;1;131;102;28.39483870967742
mcpm2p5;1;138;182;24.357761193087665
mcpm2p5;1;143;189;12.961379310344828
mcpm2p5;1;146;103;13.23591304347826
mcpm2p5;1;155;114;15.836913043478262
mcpm2p5;1;212;125;25.61896551724138
mcpm2p5;1;217;150;13.103247863247862
mcpm2p5;1;222;68;23.603913043478254
mcpm2p5;2;57;34;28.5425
mcpm2p5;2;62;84;9.579830508474576
mcpm2p5;2;74;123;11.903333333333334
mcpm2p5;2;94;191;10.72
mcpm2p5;2;116;31;15.095833333333331
mcpm2p5;2;116;122;15.706666666666669
mcpm2p5;2;117;69;8.365
mcpm2p5;2;118;69;8.673
mcpm2p5;2;118;112;7.17
mcpm2p5;2;118;113;7.506
mcpm2p5;2;119;112;7.44
mcpm2p5;2;131;102;14.708333333333334
mcpm2p5;2;131;148;15.3
mcpm2p5;2;132;148;15.44181818181818
mcpm2p5;2;136;96;14.616666666666667
mcpm2p5;2;138;181;15.645
mcpm2p5;2;139;75;25.2775
mcpm2p5;2;139;97;12.21
mcpm2p5;2;148;209;9.119166666666668
mcpm2p5;2;151;13;8.965294117647058
mcpm2p5;2;152;13;8.752325581395349
mcpm2p5;2;153;120;16.039166666666667
mcpm2p5;2;168;75;34.1975
mcpm2p5;2;206;139;14.76
mcpm2p5;2;206;140;15.57
mcpm2p5;2;225;143;26.824166666666667
mcpm2p5;3;139;75;13.256666666666666
ta;1;75;125;1.5521739130434782
ta;1;108;107;2.1869565217391305
ta;1;109;84;1.3060344827586208
ta;1;112;125;0.925
ta;1;131;102;3.3201612903225803
ta;1;138;182;-0.244678463399879
ta;1;143;189;25.305948275862068
ta;1;146;103;1.991304347826087
ta;1;155;114;1.832608695652174
ta;1;212;125;1.1715517241379312
ta;1;217;150;5.858119658119658
ta;1;222;68;1.2973913043478262
ta;2;24;51;4.92
ta;2;57;34;2.7583333333333333
ta;2;62;84;1.8016949152542368
ta;2;74;123;2.191666666666667
ta;2;94;191;2.216666666666667
ta;2;116;31;2.891666666666667
ta;2;116;122;3.5
ta;2;117;69;0.8
ta;2;118;69;0.9200000000000002
ta;2;118;112;0.3
ta;2;118;113;0.48
ta;2;119;112;0.0
ta;2;129;99;0.0066666666666666
ta;2;131;102;2.0416666666666665
ta;2;131;148;2.6
ta;2;132;148;2.727272727272727
ta;2;136;96;2.1
ta;2;137;185;1.35
ta;2;138;181;2.583333333333333
ta;2;139;74;0.4883333333333333
ta;2;139;75;3.5
ta;2;139;97;5.083333333333333
ta;2;148;209;1.5166666666666666
ta;2;151;13;2.8000000000000003
ta;2;152;13;2.8046511627906976
ta;2;153;120;3.6833333333333336
ta;2;168;75;3.908333333333333
ta;2;206;139;2.5
ta;2;206;140;2.727272727272727
ta;2;225;143;4.716666666666667
ta;3;139;75;0.4
hur;1;75;125;99.9
hur;1;108;107;99.9
hur;1;109;84;99.9
hur;1;112;125;99.9
hur;1;131;102;100.0
hur;1;138;182;100.0
hur;1;143;189;25.305948275862068
hur;1;146;103;99.9
hur;1;155;114;99.9
hur;1;212;125;99.9
hur;1;217;150;99.85726495726496
hur;1;222;68;99.9
hur;2;57;34;83.31666666666666
hur;2;62;84;40.50338983050848
hur;2;74;123;37.333333333333336
hur;2;94;191;41.61666666666667
hur;2;116;31;42.675
hur;2;116;122;39.583333333333336
hur;2;117;69;45.05
hur;2;118;69;45.08
hur;2;118;112;46.9
hur;2;118;113;47.17
hur;2;119;112;46.9
hur;2;129;99;99.99
hur;2;131;102;43.375
hur;2;131;148;42.8
hur;2;132;148;42.83636363636364
hur;2;136;96;42.6
hur;2;137;185;87.18333333333334
hur;2;138;181;44.86666666666667
hur;2;139;74;99.23583333333332
hur;2;139;75;42.825
hur;2;139;97;33.59166666666667
hur;2;148;209;45.61666666666667
hur;2;151;13;37.88235294117647
hur;2;152;13;38.104651162790695
hur;2;153;120;37.025
hur;2;168;75;44.10833333333333
hur;2;206;139;43.7
hur;2;206;140;44.04545454545455
hur;2;225;143;40.45
hur;3;139;75;97.58666666666666
plev;2;129;99;1008.03
plev;2;137;185;946.3666666666668
plev;2;139;74;1004.93
precip;2;129;99;0.0
precip;2;137;185;0.0
precip;2;139;74;0.0
wsx;2;24;51;-0.5917672275954654
wsx;2;129;99;-1.795392759239941
wsx;2;137;185;-0.2940285648739374
wsy;2;24;51;-3.778946486567913
wsy;2;129;99;-2.1228695570153118
wsy;2;137;185;-0.7740356600559
globalrad;2;129;99;0.0
globalrad;2;137;185;0.0
globalrad;2;139;74;0.0
s_label_0;3;148;209;9.0
s_label_1;3;118;69;10.0
s_label_2;3;133;86;12.0
s_label_3;3;131;102;10.0
